pokedex_number,name,abilities,weight_kg,height_m,type1,type2,generation,is_legendary,hp,attack,defense,sp_attack,sp_defense,speed,base_total,capture_rate,classfication,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
20,Raticate,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",,,normal,dark,1,0,75,71,70,40,80,77,413,127.0,Mouse Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Spearow,"['Keen Eye', 'Sniper']",2.0,0.3,normal,flying,1,0,40,60,30,31,31,70,262,255.0,Tiny Bird Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
22,Fearow,"['Keen Eye', 'Sniper']",38.0,1.2,normal,flying,1,0,65,90,65,61,61,100,442,90.0,Beak Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
23,Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']",6.9,2.0,poison,,1,0,35,60,44,40,54,55,288,255.0,Snake Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
24,Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']",65.0,3.5,poison,,1,0,60,95,69,65,79,80,448,90.0,Cobra Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
25,Pikachu,"['Static', 'Lightningrod']",6.0,0.4,electric,,1,0,35,55,40,50,50,90,320,190.0,Mouse Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Raichu,"['Static', 'Lightningrod', 'Surge Surfer']",,,electric,electric,1,0,60,85,50,95,85,110,485,75.0,Mouse Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,Sandshrew,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",,,ground,ice,1,0,50,75,90,10,35,40,300,255.0,Mouse Pokémon,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
28,Sandslash,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",,,ground,ice,1,0,75,100,120,25,65,65,450,90.0,Mouse Pokémon,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
29,Nidoran♀,"['Poison Point', 'Rivalry', 'Hustle']",7.0,0.4,poison,,1,0,55,47,52,40,40,41,275,235.0,Poison Pin Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
30,Nidorina,"['Poison Point', 'Rivalry', 'Hustle']",20.0,0.8,poison,,1,0,70,62,67,55,55,56,365,120.0,Poison Pin Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
31,Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']",60.0,1.3,poison,ground,1,0,90,92,87,75,85,76,505,45.0,Drill Pokémon,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
32,Nidoran♂,"['Poison Point', 'Rivalry', 'Hustle']",9.0,0.5,poison,,1,0,46,57,40,40,40,50,273,235.0,Poison Pin Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
33,Nidorino,"['Poison Point', 'Rivalry', 'Hustle']",19.5,0.9,poison,,1,0,61,72,57,55,55,65,365,120.0,Poison Pin Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
34,Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']",62.0,1.4,poison,ground,1,0,81,102,77,85,75,85,505,45.0,Drill Pokémon,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
35,Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']",7.5,0.6,fairy,,1,0,70,45,48,60,65,35,323,150.0,Fairy Pokémon,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
36,Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']",40.0,1.3,fairy,,1,0,95,70,73,95,90,60,483,25.0,Fairy Pokémon,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
37,Vulpix,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",,,fire,ice,1,0,38,41,40,50,65,65,299,190.0,Fox Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
38,Ninetales,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",,,fire,ice,1,0,73,67,75,81,100,109,505,75.0,Fox Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
39,Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']",5.5,0.5,normal,fairy,1,0,115,45,20,45,25,20,270,170.0,Balloon Pokémon,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
40,Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']",12.0,1.0,normal,fairy,1,0,140,70,45,85,50,45,435,50.0,Balloon Pokémon,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
41,Zubat,"['Inner Focus', 'Infiltrator']",7.5,0.8,poison,flying,1,0,40,45,35,30,40,55,245,255.0,Bat Pokémon,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
42,Golbat,"['Inner Focus', 'Infiltrator']",55.0,1.6,poison,flying,1,0,75,80,70,65,75,90,455,90.0,Bat Pokémon,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
43,Oddish,"['Chlorophyll', 'Run Away']",5.4,0.5,grass,poison,1,0,45,50,55,75,65,30,320,255.0,Weed Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
44,Gloom,"['Chlorophyll', 'Stench']",8.6,0.8,grass,poison,1,0,60,65,70,85,75,40,395,120.0,Weed Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
45,Vileplume,"['Chlorophyll', 'Effect Spore']",18.6,1.2,grass,poison,1,0,75,80,85,110,90,50,490,45.0,Flower Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
46,Paras,"['Effect Spore', 'Dry Skin', 'Damp']",5.4,0.3,bug,grass,1,0,35,70,55,45,55,25,285,190.0,Mushroom Pokémon,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
47,Parasect,"['Effect Spore', 'Dry Skin', 'Damp']",29.5,1.0,bug,grass,1,0,60,95,80,60,80,30,405,75.0,Mushroom Pokémon,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
48,Venonat,"['Compoundeyes', 'Tinted Lens', 'Run Away']",30.0,1.0,bug,poison,1,0,60,55,50,40,55,45,305,190.0,Insect Pokémon,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
49,Venomoth,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",12.5,1.5,bug,poison,1,0,70,65,60,90,75,90,450,75.0,Poison Moth Pokémon,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
50,Diglett,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",,,ground,ground,1,0,10,55,30,35,45,90,265,255.0,Mole Pokémon,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
51,Dugtrio,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",,,ground,ground,1,0,35,100,60,50,70,110,425,50.0,Mole Pokémon,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
52,Meowth,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",,,normal,dark,1,0,40,35,35,50,40,90,290,255.0,Scratch Cat Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,Persian,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",,,normal,dark,1,0,65,60,60,75,65,115,440,90.0,Classy Cat Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Psyduck,"['Damp', 'Cloud Nine', 'Swift Swim']",19.6,0.8,water,,1,0,50,52,48,65,50,55,320,190.0,Duck Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
55,Golduck,"['Damp', 'Cloud Nine', 'Swift Swim']",76.6,1.7,water,,1,0,80,82,78,95,80,85,500,75.0,Duck Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
56,Mankey,"['Vital Spirit', 'Anger Point', 'Defiant']",28.0,0.5,fighting,,1,0,40,80,35,35,45,70,305,190.0,Pig Monkey Pokémon,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
57,Primeape,"['Vital Spirit', 'Anger Point', 'Defiant']",32.0,1.0,fighting,,1,0,65,105,60,60,70,95,455,75.0,Pig Monkey Pokémon,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
58,Growlithe,"['Intimidate', 'Flash Fire', 'Justified']",19.0,0.7,fire,,1,0,55,70,45,70,50,60,350,190.0,Puppy Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
59,Arcanine,"['Intimidate', 'Flash Fire', 'Justified']",155.0,1.9,fire,,1,0,90,110,80,100,80,95,555,75.0,Legendary Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
60,Poliwag,"['Water Absorb', 'Damp', 'Swift Swim']",12.4,0.6,water,,1,0,40,50,40,40,40,90,300,255.0,Tadpole Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
61,Poliwhirl,"['Water Absorb', 'Damp', 'Swift Swim']",20.0,1.0,water,,1,0,65,65,65,50,50,90,385,120.0,Tadpole Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
62,Poliwrath,"['Water Absorb', 'Damp', 'Swift Swim']",54.0,1.3,water,fighting,1,0,90,95,95,70,90,70,510,45.0,Tadpole Pokémon,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
63,Abra,"['Synchronize', 'Inner Focus', 'Magic Guard']",19.5,0.9,psychic,,1,0,25,20,15,105,55,90,310,200.0,Psi Pokémon,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
64,Kadabra,"['Synchronize', 'Inner Focus', 'Magic Guard']",56.5,1.3,psychic,,1,0,40,35,30,120,70,105,400,100.0,Psi Pokémon,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
65,Alakazam,"['Synchronize', 'Inner Focus', 'Magic Guard']",48.0,1.5,psychic,,1,0,55,50,65,175,105,150,600,50.0,Psi Pokémon,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
66,Machop,"['Guts', 'No Guard', 'Steadfast']",19.5,0.8,fighting,,1,0,70,80,50,35,35,35,305,180.0,Superpower Pokémon,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
67,Machoke,"['Guts', 'No Guard', 'Steadfast']",70.5,1.5,fighting,,1,0,80,100,70,50,60,45,405,90.0,Superpower Pokémon,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
68,Machamp,"['Guts', 'No Guard', 'Steadfast']",130.0,1.6,fighting,,1,0,90,130,80,65,85,55,505,45.0,Superpower Pokémon,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
69,Bellsprout,"['Chlorophyll', 'Gluttony']",4.0,0.7,grass,poison,1,0,50,75,35,70,30,40,300,255.0,Flower Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
70,Weepinbell,"['Chlorophyll', 'Gluttony']",6.4,1.0,grass,poison,1,0,65,90,50,85,45,55,390,120.0,Flycatcher Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
71,Victreebel,"['Chlorophyll', 'Gluttony']",15.5,1.7,grass,poison,1,0,80,105,65,100,70,70,490,45.0,Flycatcher Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
72,Tentacool,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",45.5,0.9,water,poison,1,0,40,40,35,50,100,70,335,190.0,Jellyfish Pokémon,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
73,Tentacruel,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",55.0,1.6,water,poison,1,0,80,70,65,80,120,100,515,60.0,Jellyfish Pokémon,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
74,Geodude,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",,,rock,ground,1,0,40,80,100,30,30,20,300,255.0,Rock Pokémon,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
75,Graveler,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",,,rock,ground,1,0,55,95,115,45,45,35,390,120.0,Rock Pokémon,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
76,Golem,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",,,rock,ground,1,0,80,120,130,55,65,45,495,45.0,Megaton Pokémon,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
77,Ponyta,"['Run Away', 'Flash Fire', 'Flame Body']",30.0,1.0,fire,,1,0,50,85,55,65,65,90,410,190.0,Fire Horse Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
78,Rapidash,"['Run Away', 'Flash Fire', 'Flame Body']",95.0,1.7,fire,,1,0,65,100,70,80,80,105,500,60.0,Fire Horse Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
79,Slowpoke,"['Oblivious', 'Own Tempo', 'Regenerator']",36.0,1.2,water,psychic,1,0,90,65,65,40,40,15,315,190.0,Dopey Pokémon,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
80,Slowbro,"['Oblivious', 'Own Tempo', 'Regenerator']",78.5,1.6,water,psychic,1,0,95,75,180,130,80,30,590,75.0,Hermit Crab Pokémon,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
81,Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']",6.0,0.3,electric,steel,1,0,25,35,70,95,55,45,325,190.0,Magnet Pokémon,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
82,Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']",60.0,1.0,electric,steel,1,0,50,60,95,120,70,70,465,60.0,Magnet Pokémon,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
83,Farfetch'd,"['Keen Eye', 'Inner Focus', 'Defiant']",15.0,0.8,normal,flying,1,0,52,90,55,58,62,60,377,45.0,Wild Duck Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
84,Doduo,"['Run Away', 'Early Bird', 'Tangled Feet']",39.2,1.4,normal,flying,1,0,35,85,45,35,35,75,310,190.0,Twin Bird Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
85,Dodrio,"['Run Away', 'Early Bird', 'Tangled Feet']",85.2,1.8,normal,flying,1,0,60,110,70,60,60,110,470,45.0,Triple Bird Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
86,Seel,"['Thick Fat', 'Hydration', 'Ice Body']",90.0,1.1,water,,1,0,65,45,55,45,70,45,325,190.0,Sea Lion Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
87,Dewgong,"['Thick Fat', 'Hydration', 'Ice Body']",120.0,1.7,water,ice,1,0,90,70,80,70,95,70,475,75.0,Sea Lion Pokémon,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
88,Grimer,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",,,poison,poison,1,0,80,80,50,40,50,25,325,190.0,Sludge Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
89,Muk,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",,,poison,poison,1,0,105,105,75,65,100,50,500,75.0,Sludge Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
90,Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']",4.0,0.3,water,,1,0,30,65,100,45,25,40,305,190.0,Bivalve Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
